Name,Details,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated
Commercial Solar Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/5503/commercial-solar-property-tax-exemption,VA,Financial Incentive,Property Tax Incentive,07/03/2014,12/15/2023
City of Memphis - PILOT Program,https://programs.dsireusa.org/system/program/detail/22676/city-of-memphis-pilot-program,TN,Financial Incentive,Property Tax Incentive,07/23/2024,07/23/2024
City of Houston - Property Tax Abatement for Green Commercial Buildings,https://programs.dsireusa.org/system/program/detail/4720/city-of-houston-property-tax-abatement-for-green-commercial-buildings,TX,Financial Incentive,Property Tax Incentive,03/30/2011,02/28/2023
City of Friendswood - Property Tax Abatement for Green Commercial Buildings,https://programs.dsireusa.org/system/program/detail/5008/city-of-friendswood-property-tax-abatement-for-green-commercial-buildings,TX,Financial Incentive,Property Tax Incentive,09/15/2011,07/08/2020
City of Cleveland - Residential Property Tax Abatement for Green Buildings,https://programs.dsireusa.org/system/program/detail/4146/city-of-cleveland-residential-property-tax-abatement-for-green-buildings,OH,Financial Incentive,Property Tax Incentive,05/12/2010,10/15/2024
City of Cincinnati - Property Tax Abatement for Green Buildings,https://programs.dsireusa.org/system/program/detail/2809/city-of-cincinnati-property-tax-abatement-for-green-buildings,OH,Financial Incentive,Property Tax Incentive,11/20/2007,10/15/2024
City of Baltimore - High-Performance Market-Rate Rental Housing Property Tax Credit,https://programs.dsireusa.org/system/program/detail/22677/city-of-baltimore-high-performance-market-rate-rental-housing-property-tax-credit,MD,Financial Incentive,Property Tax Incentive,07/24/2024,07/24/2024
City and County of Honolulu - Real Property Tax Exemption for Renewable Energy Property,https://programs.dsireusa.org/system/program/detail/3684/city-and-county-of-honolulu-real-property-tax-exemption-for-renewable-energy-property,HI,Financial Incentive,Property Tax Incentive,09/23/2009,10/25/2024
Biomass Gasification and Methane Digester Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/3243/biomass-gasification-and-methane-digester-property-tax-exemption,MI,Financial Incentive,Property Tax Incentive,02/03/2009,10/15/2024
"Biogas, Solar, and Wind Energy Equipment Exemption",https://programs.dsireusa.org/system/program/detail/178/biogas-solar-and-wind-energy-equipment-exemption,WI,Financial Incentive,Property Tax Incentive,01/01/2000,08/16/2024
Baltimore County - Property Tax Credit for Solar and Geothermal Devices,https://programs.dsireusa.org/system/program/detail/5042/baltimore-county-property-tax-credit-for-solar-and-geothermal-devices,MD,Financial Incentive,Property Tax Incentive,11/07/2011,07/07/2020
Baltimore County - Property Tax Credit for High Performance Buildings and Homes,https://programs.dsireusa.org/system/program/detail/4341/baltimore-county-property-tax-credit-for-high-performance-buildings-and-homes,MD,Financial Incentive,Property Tax Incentive,09/15/2010,11/20/2024
Assessment of Farmland Hosting Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/4026/assessment-of-farmland-hosting-renewable-energy-systems,NJ,Financial Incentive,Property Tax Incentive,03/16/2010,03/18/2025
Anne Arundel County - Solar and Geothermal Equipment Property Tax Credits,https://programs.dsireusa.org/system/program/detail/2908/anne-arundel-county-solar-and-geothermal-equipment-property-tax-credits,MD,Financial Incentive,Property Tax Incentive,04/04/2008,07/07/2020
Anne Arundel County - High Performance Dwelling Property Tax Credit,https://programs.dsireusa.org/system/program/detail/4577/anne-arundel-county-high-performance-dwelling-property-tax-credit,MD,Financial Incentive,Property Tax Incentive,01/28/2011,07/06/2020
Alternative Energy Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/22142/alternative-energy-property-tax-exemption,MI,Financial Incentive,Property Tax Incentive,03/12/2021,08/15/2024
Active Solar Heating and Cooling Systems Exemption,https://programs.dsireusa.org/system/program/detail/183/active-solar-heating-and-cooling-systems-exemption,NC,Financial Incentive,Property Tax Incentive,01/01/2000,10/25/2024
Wood Heating Fuel Exemption,https://programs.dsireusa.org/system/program/detail/143/wood-heating-fuel-exemption,MD,Financial Incentive,Sales Tax Incentive,01/01/2000,03/11/2025
Wind Energy Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/601/wind-energy-sales-tax-exemption,MN,Financial Incentive,Sales Tax Incentive,11/29/2001,12/10/2024
Tax Exemption for Large-Scale Renewable Energy Projects,https://programs.dsireusa.org/system/program/detail/2742/tax-exemption-for-large-scale-renewable-energy-projects,KY,Financial Incentive,Sales Tax Incentive,10/08/2007,12/12/2024
Solar Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/1234/solar-sales-tax-exemption,NY,Financial Incentive,Sales Tax Incentive,08/10/2005,01/06/2025
Solar Energy Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/1218/solar-energy-sales-tax-exemption,MN,Financial Incentive,Sales Tax Incentive,07/14/2005,12/12/2024
Solar Energy Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/219/solar-energy-sales-tax-exemption,NJ,Financial Incentive,Sales Tax Incentive,01/01/2000,01/06/2025
Solar Energy Gross Receipts Tax Deduction,https://programs.dsireusa.org/system/program/detail/2566/solar-energy-gross-receipts-tax-deduction,NM,Financial Incentive,Sales Tax Incentive,05/25/2007,12/05/2023
Solar and Wind Equipment Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/119/solar-and-wind-equipment-sales-tax-exemption,AZ,Financial Incentive,Sales Tax Incentive,01/01/2000,03/21/2025
Solar and CHP Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/243/solar-and-chp-sales-tax-exemption,FL,Financial Incentive,Sales Tax Incentive,01/01/2000,01/02/2025
Sales Tax Holiday for Energy-Efficient Appliances,https://programs.dsireusa.org/system/program/detail/4426/sales-tax-holiday-for-energy-efficient-appliances,MD,Financial Incentive,Sales Tax Incentive,10/26/2010,01/06/2025
Sales Tax Holiday for Energy-Efficient Appliances,https://programs.dsireusa.org/system/program/detail/3030/sales-tax-holiday-for-energy-efficient-appliances,MO,Financial Incentive,Sales Tax Incentive,07/29/2008,12/12/2024
Sales Tax Exemption for Wind and Solar Energy - High Impact Business,https://programs.dsireusa.org/system/program/detail/3543/sales-tax-exemption-for-wind-and-solar-energy-high-impact-business,IL,Financial Incentive,Sales Tax Incentive,07/16/2009,12/12/2024
Sales Tax Exemption for Manufacturing Facilities,https://programs.dsireusa.org/system/program/detail/2745/sales-tax-exemption-for-manufacturing-facilities,KY,Financial Incentive,Sales Tax Incentive,10/10/2007,12/12/2024
Sales Tax Exemption for Hydrogen Generation Facilities,https://programs.dsireusa.org/system/program/detail/4989/sales-tax-exemption-for-hydrogen-generation-facilities,ND,Financial Incentive,Sales Tax Incentive,09/01/2011,12/04/2024
Sales Tax Exemption for Hydrogen Fuel Cells,https://programs.dsireusa.org/system/program/detail/2755/sales-tax-exemption-for-hydrogen-fuel-cells,SC,Financial Incentive,Sales Tax Incentive,10/17/2007,12/05/2023
Sales Tax Exemption for Energy-Efficient Products (Sales Tax Holiday),https://programs.dsireusa.org/system/program/detail/2796/sales-tax-exemption-for-energy-efficient-products-sales-tax-holiday,VA,Financial Incentive,Sales Tax Incentive,11/13/2007,02/24/2023
Sales Tax Exemption for Energy Storage Systems,https://programs.dsireusa.org/system/program/detail/22489/sales-tax-exemption-for-energy-storage-systems,CO,Financial Incentive,Sales Tax Incentive,02/22/2023,12/12/2024
Sales Tax Exemption - Machinery for New and Expanded Industry,https://programs.dsireusa.org/system/program/detail/22572/sales-tax-exemption-machinery-for-new-and-expanded-industry,KY,Financial Incentive,Sales Tax Incentive,12/05/2023,12/12/2024
Sales Tax Credit for Clean Energy Technology,https://programs.dsireusa.org/system/program/detail/4919/sales-tax-credit-for-clean-energy-technology,TN,Financial Incentive,Sales Tax Incentive,07/18/2011,01/02/2025
Sales and Use Tax Exemption for Solar and Geothermal Systems,https://programs.dsireusa.org/system/program/detail/2613/sales-and-use-tax-exemption-for-solar-and-geothermal-systems,CT,Financial Incentive,Sales Tax Incentive,06/21/2007,03/20/2023
Sales and Use Tax Exemption for Residential Solar and Wind Electricity Sales,https://programs.dsireusa.org/system/program/detail/4853/sales-and-use-tax-exemption-for-residential-solar-and-wind-electricity-sales,MD,Financial Incentive,Sales Tax Incentive,06/03/2011,01/06/2025
Sales and Use Tax Exemption for Renewable Energy Property,https://programs.dsireusa.org/system/program/detail/5427/sales-and-use-tax-exemption-for-renewable-energy-property,NE,Financial Incentive,Sales Tax Incentive,07/12/2013,12/10/2024
Sales and Use Tax Exemption for Renewable Energy Equipment,https://programs.dsireusa.org/system/program/detail/3397/sales-and-use-tax-exemption-for-renewable-energy-equipment,CO,Financial Incentive,Sales Tax Incentive,05/27/2009,12/10/2024
Sales and Use Tax Exemption for Renewable Energy Equipment,https://programs.dsireusa.org/system/program/detail/2928/sales-and-use-tax-exemption-for-renewable-energy-equipment,MD,Financial Incentive,Sales Tax Incentive,04/25/2008,01/06/2025
Sales and Use Tax Exemption for Gas Processing Facilities,https://programs.dsireusa.org/system/program/detail/4990/sales-and-use-tax-exemption-for-gas-processing-facilities,ND,Financial Incentive,Sales Tax Incentive,09/01/2011,12/04/2024
Sales and Use Tax Exemption for Electrical Generating Facilities,https://programs.dsireusa.org/system/program/detail/4988/sales-and-use-tax-exemption-for-electrical-generating-facilities,ND,Financial Incentive,Sales Tax Incentive,09/01/2011,12/09/2024
Sales and Use Tax Exemption for Electrical Generating Equipment,https://programs.dsireusa.org/system/program/detail/5106/sales-and-use-tax-exemption-for-electrical-generating-equipment,IN,Financial Incentive,Sales Tax Incentive,02/08/2012,12/12/2024
Sales and Use Tax Exemption for Electric Power Generation and Storage Equipment,https://programs.dsireusa.org/system/program/detail/22048/sales-and-use-tax-exemption-for-electric-power-generation-and-storage-equipment,CA,Financial Incentive,Sales Tax Incentive,02/08/2018,03/21/2025
Sales and Use Tax Exemption for Data Center Equipment,https://programs.dsireusa.org/system/program/detail/22139/sales-and-use-tax-exemption-for-data-center-equipment,MD,Financial Incentive,Sales Tax Incentive,10/21/2020,01/06/2025
Sales and Use Tax Exemption for Community Renewable Energy Projects,https://programs.dsireusa.org/system/program/detail/2576/sales-and-use-tax-exemption-for-community-renewable-energy-projects,NE,Financial Incentive,Sales Tax Incentive,05/31/2007,12/12/2024
Residential Wood Heating Fuel Exemption,https://programs.dsireusa.org/system/program/detail/4874/residential-wood-heating-fuel-exemption,NY,Financial Incentive,Sales Tax Incentive,06/20/2011,12/09/2024
Renewable Energy Systems Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/44/renewable-energy-systems-sales-tax-exemption,VT,Financial Incentive,Sales Tax Incentive,01/01/2000,12/18/2024
Renewable Energy Sales Tax Exemptions,https://programs.dsireusa.org/system/program/detail/3223/renewable-energy-sales-tax-exemptions,WI,Financial Incentive,Sales Tax Incentive,01/22/2009,12/10/2024
Renewable Energy Sales and Use Tax Exemption,https://programs.dsireusa.org/system/program/detail/576/renewable-energy-sales-and-use-tax-exemption,WA,Financial Incentive,Sales Tax Incentive,05/18/2001,12/04/2024
Renewable Energy Sales and Use Tax Abatement,https://programs.dsireusa.org/system/program/detail/3233/renewable-energy-sales-and-use-tax-abatement,NV,Financial Incentive,Sales Tax Incentive,01/27/2009,03/21/2025
Renewable Energy Products Sales and Use Tax Exemption,https://programs.dsireusa.org/system/program/detail/1237/renewable-energy-products-sales-and-use-tax-exemption,RI,Financial Incentive,Sales Tax Incentive,08/16/2005,12/05/2023
Renewable Energy Facility Sales and Use Tax Reimbursement,https://programs.dsireusa.org/system/program/detail/5422/renewable-energy-facility-sales-and-use-tax-reimbursement,SD,Financial Incentive,Sales Tax Incentive,06/26/2013,12/04/2024
Renewable Energy Equipment Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/145/renewable-energy-equipment-sales-tax-exemption,MA,Financial Incentive,Sales Tax Incentive,01/01/2000,01/02/2025
Renewable Energy Equipment Exemption,https://programs.dsireusa.org/system/program/detail/56/renewable-energy-equipment-exemption,IA,Financial Incentive,Sales Tax Incentive,01/01/2000,03/17/2025
Puerto Rico - Sales and Use Tax Exemption for Solar Equipment,https://programs.dsireusa.org/system/program/detail/3182/puerto-rico-sales-and-use-tax-exemption-for-solar-equipment,PR,Financial Incentive,Sales Tax Incentive,12/16/2008,12/05/2023
Partial Sales and Use Tax Exemption for Zero-Emission Transit Buses,https://programs.dsireusa.org/system/program/detail/22154/partial-sales-and-use-tax-exemption-for-zero-emission-transit-buses,CA,Financial Incentive,Sales Tax Incentive,05/21/2021,02/25/2025
Partial Sales and Use Tax Exemption for Agricultural Solar Power Facilities,https://programs.dsireusa.org/system/program/detail/5351/partial-sales-and-use-tax-exemption-for-agricultural-solar-power-facilities,CA,Financial Incentive,Sales Tax Incentive,12/13/2012,03/21/2025
New York City - Residential Solar Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/4703/new-york-city-residential-solar-sales-tax-exemption,NY,Financial Incentive,Sales Tax Incentive,03/21/2011,12/18/2024
Local Option - Sales and Use Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/2502/local-option-sales-and-use-tax-exemption-for-renewable-energy-systems,CO,Financial Incentive,Sales Tax Incentive,04/27/2007,12/12/2024
Gross Receipts Tax Exemption for Sales of Wind and Solar Systems to Government Entities,https://programs.dsireusa.org/system/program/detail/3980/gross-receipts-tax-exemption-for-sales-of-wind-and-solar-systems-to-government-entities,NM,Financial Incentive,Sales Tax Incentive,02/16/2010,08/26/2024
Energy Storage Sales and Use Tax Reimbursement,https://programs.dsireusa.org/system/program/detail/22501/energy-storage-sales-and-use-tax-reimbursement,ME,Financial Incentive,Sales Tax Incentive,02/23/2023,01/02/2025
ENERGY STAR Sales Tax Holiday for Energy-Efficient Products,https://programs.dsireusa.org/system/program/detail/2766/energy-star-sales-tax-holiday-for-energy-efficient-products,TX,Financial Incentive,Sales Tax Incentive,10/26/2007,03/30/2023
Energy Efficient Manufactured Homes Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/2834/energy-efficient-manufactured-homes-sales-tax-incentive,SC,Financial Incentive,Sales Tax Incentive,12/20/2006,03/21/2023
Energy Conversion and Thermal Efficiency Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/77/energy-conversion-and-thermal-efficiency-sales-tax-exemption,OH,Financial Incentive,Sales Tax Incentive,01/01/2000,12/12/2024
City of Boulder - Solar Sales and Use Tax Rebate,https://programs.dsireusa.org/system/program/detail/4082/city-of-boulder-solar-sales-and-use-tax-rebate,CO,Financial Incentive,Sales Tax Incentive,04/08/2010,03/17/2025
Biomass Sales and Use Tax Exemption,https://programs.dsireusa.org/system/program/detail/1952/biomass-sales-and-use-tax-exemption,GA,Financial Incentive,Sales Tax Incentive,08/11/2006,01/02/2025
Biomass Equipment & Materials Compensating Tax Deduction,https://programs.dsireusa.org/system/program/detail/359/biomass-equipment-materials-compensating-tax-deduction,NM,Financial Incentive,Sales Tax Incentive,04/29/2005,12/05/2023
Alternative Energy Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/1070/alternative-energy-sales-tax-exemption,UT,Financial Incentive,Sales Tax Incentive,03/18/2004,12/04/2024
